DateTime,Hour,911_10,911_15,911_20,911_40,911_60,911_120,911_121,911_AB,911_T,911_PCT_10,911_PCT_15,911_PCT_20,911_PCT_40,911_PCT_AB,ADM_10,ADM_15,ADM_20,ADM_40,ADM_60,ADM_120,ADM_121,ADM_AB,ADM_T,Total
11/9/2025 00:00,00,5,0,0,0,0,0,0,0,5,1,1,1,1,0,,,,,,,,,0,5
11/9/2025 01:00,01,5,0,1,0,0,0,0,1,6,0.833333333,0.833333333,1,1,0.166666667,,,,,,,,,0,6
11/9/2025 02:00,02,8,0,0,0,0,0,0,1,8,1,1,1,1,0.125,,,,,,,,,0,8
11/9/2025 03:00,03,4,0,0,0,0,0,0,1,4,1,1,1,1,0.25,,,,,,,,,0,4
11/9/2025 04:00,04,3,0,0,0,0,0,0,0,3,1,1,1,1,0,,,,,,,,,0,3
11/9/2025 05:00,05,4,0,0,0,0,0,0,1,4,1,1,1,1,0.25,,,,,,,,,0,4
11/9/2025 06:00,06,6,0,0,0,0,0,0,1,6,1,1,1,1,0.166666667,,,,,,,,,0,6
11/9/2025 07:00,07,3,0,0,0,0,0,0,0,3,1,1,1,1,0,,,,,,,,,0,3
11/9/2025 08:00,08,5,0,0,0,0,0,0,1,5,1,1,1,1,0.2,,,,,,,,,0,5
11/9/2025 09:00,09,5,2,0,1,0,0,0,0,8,0.625,0.875,0.875,1,0,,,,,,,,,0,8
11/9/2025 10:00,10,3,0,0,0,0,0,0,1,3,1,1,1,1,0.333333333,,,,,,,,,0,3
11/9/2025 11:00,11,4,1,2,0,0,0,0,1,7,0.571428571,0.714285714,1,1,0.142857143,,,,,,,,,0,7
11/9/2025 12:00,12,4,1,0,0,0,0,0,1,5,0.8,1,1,1,0.2,,,,,,,,,0,5
11/9/2025 13:00,13,6,1,0,1,0,0,0,0,8,0.75,0.875,0.875,1,0,,,,,,,,,0,8
11/9/2025 14:00,14,14,1,0,0,0,0,0,1,15,0.933333333,1,1,1,0.066666667,,,,,,,,,0,15
11/9/2025 15:00,15,10,1,0,0,0,0,0,2,11,0.909090909,1,1,1,0.181818182,,,,,,,,,0,11
11/9/2025 16:00,16,11,1,0,0,0,0,0,0,12,0.916666667,1,1,1,0,,,,,,,,,0,12
11/9/2025 17:00,17,10,0,0,0,0,0,0,2,10,1,1,1,1,0.2,,,,,,,,,0,10
11/9/2025 18:00,18,6,0,1,1,0,0,0,1,8,0.75,0.75,0.875,1,0.125,,,,,,,,,0,8
11/9/2025 19:00,19,11,3,0,0,0,0,0,0,14,0.785714286,1,1,1,0,,,,,,,,,0,14
11/9/2025 20:00,20,9,0,0,0,0,0,0,1,9,1,1,1,1,0.111111111,,,,,,,,,0,9
11/9/2025 21:00,21,5,0,0,0,0,0,0,0,5,1,1,1,1,0,,,,,,,,,0,5
11/9/2025 22:00,22,5,4,0,0,0,0,0,1,9,0.555555556,1,1,1,0.111111111,,,,,,,,,0,9
