metric,Agency,N,Median,P90,Pct_le_15,Pct_le_20
Phone Time,EMS,278,182.5,471.90000000000026,20.5,20.5
Phone Time,FIRE,115,112,323.20000000000005,13,14.8
Phone Time,POLICE,1274,122.5,508.70000000000005,25.1,25.6
Processing Time,EMS,333,43,97,33.6,33.6
Processing Time,FIRE,152,32.5,85.9,35.5,40.1
Processing Time,POLICE,1274,235,2889.2000000000003,22.5,23.3
Time to Dispatch,EMS,333,2,3,99.4,99.7
Time to Dispatch,FIRE,152,2,3,98,98
Time to Dispatch,POLICE,1274,147.5,2757.4000000000037,26.5,28.3
Time to Queue,EMS,333,41,94,33.6,33.9
Time to Queue,FIRE,152,30.5,83.9,37.5,41.4
Time to Queue,POLICE,1274,46,160,28.4,31.5
