metric,Priority,N,Median,P90,Pct_le_15,Pct_le_20
Phone Time,1,208,231.5,517.4000000000002,10.1,10.1
Phone Time,10,1,30,30,0,0
Phone Time,2,645,106,401.60000000000025,35.5,36
Phone Time,3,283,159,398.4000000000001,7.1,7.4
Phone Time,4,228,147.5,645.200000000001,3.9,3.9
Phone Time,6,1,11,11,100,100
Phone Time,8,50,0,0,94,94
Processing Time,1,285,44,115.60000000000002,31.6,32.6
Processing Time,10,1,7953,7953,0,0
Processing Time,2,645,130,903.0000000000001,34,34.7
Processing Time,3,283,67,1350.6000000000004,5.3,7.8
Processing Time,4,228,876,8009.900000000004,2.2,3.1
Processing Time,6,1,30,30,0,0
Processing Time,8,50,0,0,94,94
Time to Dispatch,1,285,2,26,84.6,87.7
Time to Dispatch,2,645,64,810.4000000000001,38.8,40
Time to Dispatch,3,283,3,1257.2000000000003,68.6,68.9
Time to Dispatch,4,228,733.5,7993.100000000004,16.7,17.1
Time to Dispatch,6,1,19,19,0,100
Time to Dispatch,8,50,0,0,98,98
Time to Queue,1,285,37,90,34.4,36.5
Time to Queue,10,1,8407,8407,0,0
Time to Queue,2,645,37,136.60000000000002,37.7,40.8
Time to Queue,3,283,54,155.20000000000005,9.2,12
Time to Queue,4,228,65.5,171.60000000000002,8.3,12.3
Time to Queue,6,1,11,11,100,100
Time to Queue,8,50,0,0,94,96
